rdt_id,ns_lines,rdt_lines,rdt_lines_id,rdt_station_names,rdt_station_codes,cause_nl,cause_en,statistical_cause_nl,statistical_cause_en,cause_group,start_time,end_time,duration_minutes
4565,Arnhem-Ede-Wageningen,"Arnhem Centraal - Utrecht Centraal",133,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2012-09-26 08:58:03","2012-09-26 12:06:02",157
4566,Ede-Wageningen-Amersfoort,"Amersfoort - Ede-Wageningen",47,,,"defecte treinen","defective trains","defecte treinen","defective trains","rolling stock","2012-09-26 09:14:01","2012-09-26 20:27:01",661
4567,Breda-Tilburg,"Breda - Tilburg",68,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2012-09-26 09:43:01","2012-09-26 13:35:01",205
4568,Schiphol,"Amersfoort - Schiphol Airport, Amsterdam Centraal - Schiphol Airport, Leiden Centraal - Schiphol Airport, Lelystad Centrum - Schiphol Airport, Rotterdam Centraal - Schiphol Airport (HSL), Schiphol Airport - Utrecht Centraal, Schiphol Airport - Zaandam","22,24,32,137,144,148,165",,,stroomstoring,"power failure",stroomstoring,"power failure",infrastructure,"2012-09-26 15:23:01","2012-09-26 18:05:01",49
4569,'s-Hertogenbosch-Nijmegen,"'s-Hertogenbosch - Nijmegen",57,,,"sein-en overwegstoring","signal and level crossing failure","sein-en overwegstoring","signal and level crossing failure",infrastructure,"2012-09-27 06:27:01","2012-09-27 08:23:01",78
4570,Deventer-Zutphen,"Deventer - Zutphen",86,,,"sein-en overwegstoring","signal and level crossing failure","sein-en overwegstoring","signal and level crossing failure",infrastructure,"2012-09-27 07:59:01","2012-09-27 15:32:01",416
4571,"Utrecht Centraal-Den Haag C","Alphen a/d Rijn - Gouda, Den Haag Centraal - Utrecht Centraal, Rotterdam Centraal - Utrecht Centraal","8,142,143",,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2012-09-27 08:21:01","2012-09-27 09:40:01",42
4572,Groningen-Roodeschool,"Groningen - Eemshaven",158,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2012-09-27 08:29:01","2012-09-27 08:55:01",8
4573,Ede-Wageningen-Amersfoort,"Amersfoort - Ede-Wageningen",47,,,"defecte treinen","defective trains","defecte treinen","defective trains","rolling stock","2012-09-27 08:46:01","2012-09-27 16:08:01",377
4574,"Alkmaar-Amsterdam C","Alkmaar - Amsterdam Centraal",161,,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2012-09-27 16:49:01","2012-09-27 20:23:01",197
4575,Zutphen-Arnhem,"Arnhem Centraal - Zutphen",132,,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2012-09-28 06:57:01","2012-09-28 09:04:03",95
4576,"Arnhem-Frankfurt Flugh./Köln Hbf/Winterswijk","Arnhem Centraal - Frankfurt (M) Hbf, Arnhem Centraal - Winterswijk, Arnhem Centraal - Zutphen","82,129,132",,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2012-09-28 06:59:01","2012-09-28 09:06:01",93
4577,Hengelo-Zutphen,"Hengelo - Zutphen",90,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2012-09-28 08:55:01","2012-09-28 09:31:03",11
