X,Y,OBJECTID,HECTOMETER,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,ROTATIE
6.36227943487373,52.3751587941461,4756797,"24,2",206,,206,206__,Zwolle - Wierden,9.4306939
6.43198769649157,52.3690300253758,4756798,29,206,,206,206__,Zwolle - Wierden,5.59034557
6.28899661073836,52.3855885737269,4756799,19,206,,206,206__,Zwolle - Wierden,41.26869263
6.36950882154143,52.3743589254332,4756800,"24,7",206,,206,206__,Zwolle - Wierden,9.55967855
6.15181484119499,52.4720454806916,4756801,"5,6",206,,206,206__,Zwolle - Wierden,45.12525662
6.31304644294841,52.3805535733835,4756802,"20,8",206,,206,206__,Zwolle - Wierden,9.31838515
6.26146532924646,52.4029765602394,4756803,"16,3",206,,206,206__,Zwolle - Wierden,45.36184587
6.3217489156168,52.3796050836047,4756804,"21,4",206,,206,206__,Zwolle - Wierden,9.48323282
6.51520364174758,52.3632839269781,4756805,"34,7",206,,206,206__,Zwolle - Wierden,5.76986894
6.23180657600577,52.4217337339844,4756806,"13,4",206,,206,206__,Zwolle - Wierden,45.32374414
6.22771709404145,52.4243189933865,4756807,13,206,,206,206__,Zwolle - Wierden,45.19289836
6.56203124891875,52.3618624712591,4756808,"37,9",206,,206,206__,Zwolle - Wierden,0.72723546
6.17234750305346,52.4591671545504,4756809,"7,6",206,,206,206__,Zwolle - Wierden,44.93351288
6.11599679555539,52.4946570648853,4756810,"2,1",206,,206,206__,Zwolle - Wierden,45.00599905
6.51959119357169,52.3629900386666,4756811,35,206,,206,206__,Zwolle - Wierden,5.44972009
6.35648956393137,52.3757931011571,4756812,"23,8",206,,206,206__,Zwolle - Wierden,9.34750897
6.44659254131352,52.368111943098,4756813,30,206,,206,206__,Zwolle - Wierden,5.49662142
6.33042685777461,52.3786514105835,4756814,22,206,,206,206__,Zwolle - Wierden,9.43465776
6.16105747952074,52.4662553446298,4756815,"6,5",206,,206,206__,Zwolle - Wierden,45.30865871
6.27879209314719,52.3919819160069,4756816,18,206,,206,206__,Zwolle - Wierden,45.19839852
6.19800717613037,52.4430481580735,4756817,"10,1",206,,206,206__,Zwolle - Wierden,45.38174986
6.40422688579797,52.3709410504124,4756818,"27,1",206,,206,206__,Zwolle - Wierden,5.5532489
6.54440675940259,52.3621091328973,4756819,"36,7",206,,206,206__,Zwolle - Wierden,0.43872825
6.20926074582834,52.4359423731494,4756820,"11,2",206,,206,206__,Zwolle - Wierden,45.13174346
6.18364318988136,52.4520827127585,4756821,"8,7",206,,206,206__,Zwolle - Wierden,45.28819275
6.24510786127216,52.4133343230356,4756822,"14,7",206,,206,206__,Zwolle - Wierden,45.01476893
6.41153117140727,52.3704393631775,4756823,"27,6",206,,206,206__,Zwolle - Wierden,5.51047019
6.39547981362719,52.3715482173644,4756824,"26,5",206,,206,206__,Zwolle - Wierden,5.70294735
6.16002906866045,52.4668971831539,4756825,"6,4",206,,206,206__,Zwolle - Wierden,44.94981319
6.48752596612363,52.3654703629609,4756826,"32,8",206,,206,206__,Zwolle - Wierden,5.52847846
6.22975660001653,52.4230251113087,4756827,"13,2",206,,206,206__,Zwolle - Wierden,45.45025226
6.56936869588917,52.3617603737513,4756828,"38,4",206,,206,206__,Zwolle - Wierden,0.64288764
6.16927819041897,52.4611029412003,4756829,"7,3",206,,206,206__,Zwolle - Wierden,45.23887535
6.21131473098284,52.4346539564458,4756830,"11,4",206,,206,206__,Zwolle - Wierden,45.01217382
6.16311660955667,52.4649657290613,4756831,"6,7",206,,206,206__,Zwolle - Wierden,45.1365576
6.43782840014118,52.3686314660839,4756832,"29,4",206,,206,206__,Zwolle - Wierden,5.44756813
6.15900701980238,52.4675409843549,4756833,"6,3",206,,206,206__,Zwolle - Wierden,45.26096321
6.35793843876924,52.3756353843944,4756834,"23,9",206,,206,206__,Zwolle - Wierden,9.59834109
6.52975383523647,52.3623412024533,4756835,"35,7",206,,206,206__,Zwolle - Wierden,2.04574629
6.3246483861316,52.3792798842083,4756836,"21,6",206,,206,206__,Zwolle - Wierden,9.76301359
6.37239892604121,52.3740398203323,4756837,"24,9",206,,206,206__,Zwolle - Wierden,9.51493233
6.24100206227061,52.4159233623484,4756838,"14,3",206,,206,206__,Zwolle - Wierden,44.98805093
6.29479562050059,52.3831716966525,4756839,"19,5",206,,206,206__,Zwolle - Wierden,25.24958544
6.21951141711417,52.4294958801369,4756840,"12,2",206,,206,206__,Zwolle - Wierden,45.20832944
6.18056285446172,52.4540062813824,4756841,"8,4",206,,206,206__,Zwolle - Wierden,44.98902293
6.13333889019344,52.4836295535748,4756842,"3,8",206,,206,206__,Zwolle - Wierden,45.31339223
6.24407794285999,52.4139722562451,4756843,"14,6",206,,206,206__,Zwolle - Wierden,45.0172111
6.2501994460672,52.4100943667564,4756844,"15,2",206,,206,206__,Zwolle - Wierden,45.33532067
6.38541302271381,52.3726068078972,4756845,"25,8",206,,206,206__,Zwolle - Wierden,9.56196283
6.1733654747122,52.4585308840548,4756846,"7,7",206,,206,206__,Zwolle - Wierden,45.23155437
6.23895990649786,52.4172121953947,4756847,"14,1",206,,206,206__,Zwolle - Wierden,45.16482449
6.28329170882304,52.3896391359866,4756848,"18,4",206,,206,206__,Zwolle - Wierden,44.88784386
6.18569061807664,52.4507928185544,4756849,"8,9",206,,206,206__,Zwolle - Wierden,45.19818879
6.52831495594386,52.3624087755244,4756850,"35,6",206,,206,206__,Zwolle - Wierden,3.69135871
6.23487533281841,52.4197985271001,4756851,"13,7",206,,206,206__,Zwolle - Wierden,45.25980142
6.52393273619652,52.362512338789,4756852,"35,3",206,,206,206__,Zwolle - Wierden,5.85752719
6.20517514818442,52.4385227982471,4756853,"10,8",206,,206,206__,Zwolle - Wierden,45.33579968
6.12726566584014,52.4875914356493,4756854,"3,2",206,,206,206__,Zwolle - Wierden,44.81929056
6.50936515174168,52.3636870844209,4756855,"34,3",206,,206,206__,Zwolle - Wierden,5.28391483
6.28695988492261,52.3868112909251,4756856,"18,8",206,,206,206__,Zwolle - Wierden,45.49402023
6.49337324106918,52.3650825671746,4756857,"33,2",206,,206,206__,Zwolle - Wierden,5.64864467
